Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11:00,Cash,112.22,4.761904762,5.611,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03:00,Cash,414.72,4.761904762,20.736,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39:00,Cash,789.6,4.761904762,39.48,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47:00,Cash,30.74,4.761904762,1.537,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00:00,Cash,375.84,4.761904762,18.792,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24:00,Credit card,510.21,4.761904762,25.5105,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:47:00,Ewallet,180.09,4.761904762,9.0045,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45:00,Credit card,113.58,4.761904762,5.679,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08:00,Ewallet,826.3,4.761904762,41.315,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19:00,Cash,639.8,4.761904762,31.99,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10:00,Cash,222.95,4.761904762,11.1475,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:42:00,Ewallet,71.48,4.761904762,3.574,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:46:00,Credit card,15.43,4.761904762,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49:00,Ewallet,32.32,4.761904762,1.616,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,19:01:00,Cash,687.84,4.761904762,34.392,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26:00,Cash,88.68,4.761904762,4.434,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28:00,Ewallet,716.8,4.761904762,35.84,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55:00,Cash,723.5,4.761904762,36.175,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36:00,Cash,183.66,4.761904762,9.183,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,17:47:00,Credit card,74.22,4.761904762,3.711,10.0
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55:00,Ewallet,334.38,4.761904762,16.719,7.0
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40:00,Ewallet,495.63,4.761904762,24.7815,10.0
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27:00,Credit card,158.1,4.761904762,7.905,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35:00,Cash,302.96,4.761904762,15.148,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40:00,Cash,158.7,4.761904762,7.935,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:43:00,Ewallet,66.94,4.761904762,3.347,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01:00,Ewallet,585.66,4.761904762,29.283,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04:00,Cash,787.7,4.761904762,39.385,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50:00,Cash,18.33,4.761904762,0.9165,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46:00,Credit card,894.8,4.761904762,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19:00,Cash,621.2,4.761904762,31.06,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17:00,Ewallet,145.56,4.761904762,7.278,4.0
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21:00,Cash,455.46,4.761904762,22.773,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55:00,Ewallet,672.03,4.761904762,33.6015,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04:00,Credit card,416.5,4.761904762,20.825,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20:00,Credit card,441.36,4.761904762,22.068,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48:00,Credit card,180.09,4.761904762,9.0045,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24:00,Ewallet,783.1,4.761904762,39.155,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56:00,Cash,101.9,4.761904762,5.095,6.0
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42:00,Credit card,595.14,4.761904762,29.757,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:56:00,Ewallet,290.04,4.761904762,14.502,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37:00,Ewallet,154.0,4.761904762,7.7,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45:00,Credit card,321.44,4.761904762,16.072,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17:00,Cash,244.55,4.761904762,12.2275,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31:00,Ewallet,581.42,4.761904762,29.071,4.0
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23:00,Cash,382.6,4.761904762,19.13,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35:00,Credit card,345.66,4.761904762,17.283,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57:00,Cash,42.47,4.761904762,2.1235,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:55:00,Cash,461.94,4.761904762,23.097,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25:00,Cash,189.52,4.761904762,9.476,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54:00,Ewallet,448.6,4.761904762,22.43,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42:00,Ewallet,153.86,4.761904762,7.693,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09:00,Credit card,579.24,4.761904762,28.962,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05:00,Credit card,89.75,4.761904762,4.4875,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38:00,Ewallet,97.16,4.761904762,4.858,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25:00,Ewallet,878.7,4.761904762,43.935,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,13:11:00,Cash,74.7,4.761904762,3.735,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16:00,Ewallet,158.25,4.761904762,7.9125,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14:00,Cash,496.2,4.761904762,24.81,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20:00,Cash,48.71,4.761904762,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22:00,Cash,706.95,4.761904762,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27:00,Cash,207.63,4.761904762,10.3815,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44:00,Cash,349.56,4.761904762,17.478,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19:00,Cash,212.45,4.761904762,10.6225,8.0
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50:00,Ewallet,886.7,4.761904762,44.335,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54:00,Credit card,164.28,4.761904762,8.214,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:19:00,Cash,372.78,4.761904762,18.639,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,10:43:00,Cash,305.82,4.761904762,15.291,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,14:30:00,Cash,819.7,4.761904762,40.985,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,11:32:00,Ewallet,32.98,4.761904762,1.649,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,10:41:00,Credit card,294.63,4.761904762,14.7315,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,12:44:00,Cash,509.88,4.761904762,25.494,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07:00,Ewallet,522.63,4.761904762,26.1315,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31:00,Credit card,727.11,4.761904762,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01:00,Credit card,81.06,4.761904762,4.053,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29:00,Ewallet,109.7,4.761904762,5.485,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26:00,Ewallet,51.36,4.761904762,2.568,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48:00,Ewallet,109.6,4.761904762,5.48,6.0
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:38:00,Ewallet,106.88,4.761904762,5.344,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03:00,Credit card,796.48,4.761904762,39.824,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02:00,Credit card,399.84,4.761904762,19.992,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26:00,Credit card,899.64,4.761904762,44.982,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52:00,Credit card,511.28,4.761904762,25.564,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57:00,Ewallet,451.76,4.761904762,22.588,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44:00,Credit card,655.83,4.761904762,32.7915,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26:00,Cash,161.25,4.761904762,8.0625,9.0
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17:00,Credit card,285.57,4.761904762,14.2785,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57:00,Ewallet,548.32,4.761904762,27.416,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15:00,Ewallet,812.52,4.761904762,40.626,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,13:18:00,Cash,277.34,4.761904762,13.867,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34:00,Cash,552.78,4.761904762,27.639,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36:00,Cash,139.36,4.761904762,6.968,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,14:40:00,Credit card,524.7,4.761904762,26.235,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43:00,Ewallet,487.8,4.761904762,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,19:39:00,Cash,270.66,4.761904762,13.533,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,20:59:00,Credit card,131.55,4.761904762,6.5775,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,15:39:00,Cash,206.52,4.761904762,10.326,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21:00,Cash,519.1,4.761904762,25.955,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25:00,Ewallet,580.0,4.761904762,29.0,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00:00,Credit card,898.0,4.761904762,44.9,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48:00,Cash,905.0,4.761904762,45.25,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57:00,Cash,686.0,4.761904762,34.3,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,10:36:00,Credit card,30.41,4.761904762,1.5205,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,16:37:00,Ewallet,467.7,4.761904762,23.385,8.0
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,17:11:00,Credit card,277.56,4.761904762,13.878,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28:00,Ewallet,301.4,4.761904762,15.07,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,12:46:00,Credit card,264.56,4.761904762,13.228,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,15:07:00,Credit card,574.88,4.761904762,28.744,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,13:48:00,Credit card,259.68,4.761904762,12.984,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,19:20:00,Credit card,366.16,4.761904762,18.308,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,16:07:00,Credit card,241.92,4.761904762,12.096,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,11:56:00,Credit card,749.16,4.761904762,37.458,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,18:23:00,Ewallet,98.88,4.761904762,4.944,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,13:05:00,Cash,647.76,4.761904762,32.388,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,15:55:00,Credit card,461.45,4.761904762,23.0725,9.0
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,19:40:00,Cash,72.17,4.761904762,3.6085,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,13:58:00,Ewallet,251.4,4.761904762,12.57,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,14:43:00,Ewallet,874.98,4.761904762,43.749,6.0
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,2019-03-27,19:18:00,Ewallet,560.34,4.761904762,28.017,10.0
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,362.712,2019-01-19,19:39:00,Credit card,345.44,4.761904762,17.272,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,16:21:00,Cash,63.69,4.761904762,3.1845,6.0
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13,19:44:00,Credit card,320.53,4.761904762,16.0265,7.0
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,19:42:00,Ewallet,152.8,4.761904762,7.64,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,15:24:00,Credit card,399.0,4.761904762,19.95,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.588,2019-02-25,14:12:00,Ewallet,340.56,4.761904762,17.028,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,13:32:00,Cash,955.8,4.761904762,47.79,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,16:20:00,Credit card,989.8,4.761904762,49.49,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,16:31:00,Cash,307.68,4.761904762,15.384,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,2019-02-01,15:10:00,Credit card,486.64,4.761904762,24.332,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,11:36:00,Ewallet,350.05,4.761904762,17.5025,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,2019-01-26,12:45:00,Credit card,400.25,4.761904762,20.0125,9.4
